MonthYear,applicants
2020M10,0.0
2020M09,725.0
2020M08,1040.0
2020M07,1015.0
2020M06,685.0
2020M05,470.0
2020M04,285.0
2020M03,805.0
2020M02,1210.0
2020M01,1145
2019M12,970
2019M11,1105
2019M10,1515
2019M09,1380
2019M08,1215
2019M07,1430
2019M06,1115
2019M05,1215
2019M04,1035
2019M03,1275
2019M02,1095
2019M01,1150
2018M12,880.0
2018M11,1145.0
2018M10,1475.0
2018M09,1300.0
2018M08,1405.0
2018M07,1710.0
2018M06,1560.0
2018M05,1575.0
2018M04,1875.0
2018M03,1885.0
2018M02,1510.0
2018M01,1805.0
2017M12,1585
2017M11,1560
2017M10,1950
2017M09,3075
2017M08,2630
2017M07,2645
2017M06,2785
2017M05,2110
2017M04,2140
2017M03,2455
2017M02,2575
2017M01,2860
2016M12,3400
2016M11,3925
2016M10,3895
2016M09,4055
2016M08,4440
2016M07,4490
2016M06,4155
2016M05,2550
2016M04,2280
2016M03,1880
2016M02,2160
2016M01,1735
2015M12,1825.0
2015M11,2570.0
2015M10,5420.0
2015M09,5350.0
2015M08,6425.0
2015M07,6660.0
2015M06,6605.0
2015M05,4960.0
2015M04,1920.0
2015M03,1340.0
2015M02,1120.0
2015M01,1565.0
2014M12,1730.0
2014M11,2655.0
2014M10,4155.0
2014M09,5205.0
2014M08,6340.0
2014M07,7760.0
2014M06,5535.0
2014M05,5615.0
2014M04,3015.0
2014M03,1215.0
2014M02,965.0
2014M01,1690.0
2013M12,2030.0
2013M11,2575.0
2013M10,2730.0
2013M09,2560.0
2013M08,2760.0
2013M07,2025.0
2013M06,770.0
2013M05,775.0
2013M04,735.0
2013M03,860.0
2013M02,765.0
2013M01,1035.0
2012M12,915.0
2012M11,1405.0
2012M10,1350.0
2012M09,1120.0
2012M08,1005.0
2012M07,1075.0
2012M06,1050.0
2012M05,790.0
2012M04,690.0
2012M03,840.0
2012M02,680.0
2012M01,775.0
2011M12,710.0
2011M11,720.0
2011M10,770.0
2011M09,855.0
2011M08,860.0
2011M07,650.0
2011M06,770.0
2011M05,1365.0
2011M04,1240.0
2011M03,715.0
2011M02,695.0
2011M01,660.0
2010M12,725.0
2010M11,705.0
2010M10,705.0
2010M09,750.0
2010M08,825.0
2010M07,745.0
2010M06,585.0
2010M05,540.0
2010M04,505.0
2010M03,575.0
2010M02,495.0
2010M01,500.0
2009M12,780.0
2009M11,1010.0
2009M10,895.0
2009M09,860.0
2009M08,765.0
2009M07,920.0
2009M06,565.0
2009M05,575.0
2009M04,595.0
2009M03,585.0
2009M02,595.0
2009M01,1075.0
2008M12,1105.0
2008M11,1390.0
2008M10,1485.0
2008M09,1435.0
2008M08,1550.0
2008M07,990.0
2008M06,650.0
2008M05,590.0
2008M04,510.0
2008M03,490.0
2008M02,540.0
2008M01,740.0
