MonthYear,applicants
2020M10,215.0
2020M09,4850.0
2020M08,4845.0
2020M07,6060.0
2020M06,4090.0
2020M05,2065.0
2020M04,1970.0
2020M03,4670.0
2020M02,6925.0
2020M01,8625
2019M12,6485
2019M11,7465
2019M10,7855
2019M09,7200
2019M08,7155
2019M07,7235
2019M06,5355
2019M05,5680
2019M04,5630
2019M03,5475
2019M02,5645
2019M01,6610
2018M12,0.0
2018M11,6075.0
2018M10,0.0
2018M09,0.0
2018M08,0.0
2018M07,0.0
2018M06,0.0
2018M05,0.0
2018M04,0.0
2018M03,0.0
2018M02,0.0
2018M01,0.0
2017M12,6440
2017M11,8700
2017M10,8905
2017M09,9180
2017M08,10850
2017M07,9770
2017M06,8145
2017M05,8920
2017M04,7050
2017M03,9570
2017M02,8895
2017M01,8815
2016M12,9730
2016M11,11890
2016M10,13740
2016M09,29110
2016M08,32750
2016M07,29825
2016M06,33015
2016M05,30050
2016M04,34465
2016M03,35170
2016M02,41375
2016M01,36305
2015M12,35485.0
2015M11,55360.0
2015M10,62740.0
2015M09,64365.0
2015M08,50095.0
2015M07,32115.0
2015M06,21145.0
2015M05,13410.0
2015M04,11625.0
2015M03,10445.0
2015M02,9160.0
2015M01,11990.0
2014M12,12760.0
2014M11,13575.0
2014M10,15405.0
2014M09,17095.0
2014M08,12965.0
2014M07,11930.0
2014M06,9370.0
2014M05,7585.0
2014M04,6025.0
2014M03,5780.0
2014M02,5890.0
2014M01,6360.0
2013M12,5185.0
2013M11,6525.0
2013M10,7000.0
2013M09,6135.0
2013M08,3950.0
2013M07,3515.0
2013M06,2820.0
2013M05,2580.0
2013M04,2580.0
2013M03,2565.0
2013M02,2415.0
2013M01,3255.0
2012M12,2620.0
2012M11,3245.0
2012M10,3270.0
2012M09,2980.0
2012M08,2660.0
2012M07,1945.0
2012M06,1280.0
2012M05,1085.0
2012M04,820.0
2012M03,725.0
2012M02,765.0
2012M01,865.0
2011M12,710.0
2011M11,810.0
2011M10,780.0
2011M09,880.0
2011M08,905.0
2011M07,680.0
2011M06,475.0
2011M05,500.0
2011M04,390.0
2011M03,420.0
2011M02,365.0
2011M01,415.0
2010M12,390.0
2010M11,355.0
2010M10,435.0
2010M09,405.0
2010M08,390.0
2010M07,315.0
2010M06,310.0
2010M05,325.0
2010M04,285.0
2010M03,305.0
2010M02,445.0
2010M01,335.0
2009M12,275.0
2009M11,340.0
2009M10,440.0
2009M09,310.0
2009M08,280.0
2009M07,255.0
2009M06,260.0
2009M05,245.0
2009M04,275.0
2009M03,240.0
2009M02,295.0
2009M01,285.0
2008M12,260.0
2008M11,260.0
2008M10,315.0
2008M09,300.0
2008M08,290.0
2008M07,315.0
2008M06,280.0
2008M05,290.0
2008M04,285.0
2008M03,290.0
2008M02,300.0
2008M01,235.0
