MonthYear,applicants
2020M10,1765.0
2020M09,2360.0
2020M08,3550.0
2020M07,3735.0
2020M06,2800.0
2020M05,160.0
2020M04,80.0
2020M03,2990.0
2020M02,5125.0
2020M01,5045
2019M12,4000
2019M11,5460
2019M10,4320
2019M09,2985
2019M08,2945
2019M07,3770
2019M06,3185
2019M05,3975
2019M04,3560
2019M03,4215
2019M02,3960
2019M01,2665
2018M12,0.0
2018M11,2175.0
2018M10,0.0
2018M09,0.0
2018M08,0.0
2018M07,0.0
2018M06,0.0
2018M05,0.0
2018M04,0.0
2018M03,0.0
2018M02,0.0
2018M01,0.0
2017M12,930
2017M11,1375
2017M10,1340
2017M09,1090
2017M08,855
2017M07,775
2017M06,2020
2017M05,920
2017M04,835
2017M03,1045
2017M02,985
2017M01,880
2016M12,585
2016M11,815
2016M10,610
2016M09,460
2016M08,390
2016M07,370
2016M06,440
2016M05,295
2016M04,290
2016M03,170
2016M02,155
2016M01,150
2015M12,135.0
2015M11,155.0
2015M10,110.0
2015M09,65.0
2015M08,50.0
2015M07,50.0
2015M06,55.0
2015M05,45.0
2015M04,35.0
2015M03,35.0
2015M02,30.0
2015M01,25.0
2014M12,15.0
2014M11,25.0
2014M10,35.0
2014M09,20.0
2014M08,30.0
2014M07,30.0
2014M06,30.0
2014M05,25.0
2014M04,45.0
2014M03,55.0
2014M02,15.0
2014M01,5.0
2013M12,25.0
2013M11,10.0
2013M10,5.0
2013M09,5.0
2013M08,5.0
2013M07,10.0
2013M06,5.0
2013M05,5.0
2013M04,5.0
2013M03,5.0
2013M02,5.0
2013M01,10.0
2012M12,10.0
2012M11,10.0
2012M10,10.0
2012M09,10.0
2012M08,10.0
2012M07,0.0
2012M06,5.0
2012M05,5.0
2012M04,5.0
2012M03,5.0
2012M02,5.0
2012M01,5.0
2011M12,10.0
2011M11,15.0
2011M10,15.0
2011M09,10.0
2011M08,5.0
2011M07,5.0
2011M06,10.0
2011M05,0.0
2011M04,10.0
2011M03,10.0
2011M02,10.0
2011M01,5.0
2010M12,0.0
2010M11,10.0
2010M10,5.0
2010M09,5.0
2010M08,5.0
2010M07,10.0
2010M06,5.0
2010M05,10.0
2010M04,10.0
2010M03,5.0
2010M02,15.0
2010M01,10.0
2009M12,0.0
2009M11,0.0
2009M10,0.0
2009M09,5.0
2009M08,5.0
2009M07,0.0
2009M06,5.0
2009M05,0.0
2009M04,0.0
2009M03,5.0
2009M02,0.0
2009M01,5.0
2008M12,0.0
2008M11,0.0
2008M10,0.0
2008M09,0.0
2008M08,0.0
2008M07,5.0
2008M06,5.0
2008M05,0.0
2008M04,0.0
2008M03,0.0
2008M02,0.0
2008M01,0.0
